bidder_id,pan_number,name_on_pan,it_compliance_status
BID00001,KAFFQ6577N,Universal Enterprises Ltd,Compliant
BID00002,CJJCL6875M,Bharat Manufacturing Co LLP,Compliant
BID00003,ZWWFM2633G,Sai Suppliers LLP,Compliant
BID00004,ZQOCV3708Z,Precision Constructions LLP,Compliant
BID00005,TLPCL2950B,Universal Exports LLP,Compliant
BID00006,GOYCV7652U,Vintage Steel Works Ltd,Compliant
BID00007,JEYCQ9541L,Metro Manufacturing Co Private Limited,Compliant
BID00008,DMOCI5699Y,National Exports Private Limited,Compliant
BID00009,GBACR2206H,Metro Steel Works Pvt Ltd,Compliant
BID00010,UUECD6348B,Bharat Electronics Private Limited,Compliant
BID00011,LKHCH8088D,Modern Manufacturing Co Ltd,Compliant
BID00012,WXECA9274N,Elite Electronics Private Limited,Compliant
BID00013,YCEPT0849S,Metro Infra Solutions Pvt Ltd,Compliant
BID00014,SGKCV6499A,Krishna Manufacturing Co,Compliant
BID00015,JEVCW3985V,Apex Enterprises Private Limited,Compliant
BID00016,HFIFV6249B,Universal Technologies LLP,Compliant
BID00017,VPDFE0399B,Bharat Exports Pvt Ltd,Compliant
BID00018,WZVFN0739Z,Reliable Technologies Private Limited,Compliant
BID00019,VLHCZ8263I,Elite Suppliers Private Limited,Compliant
BID00020,PZAPT4736Q,United Electricals Private Limited,Compliant
BID00021,WSHCJ6365G,Prime Textiles,Compliant
BID00022,LPRFO4657Z,Vishal Fabricators Private Limited,Compliant
BID00023,KQFPW3316Y,Vintage Enterprises & Co,Non-Compliant
BID00024,PSNCR4184Y,Universal Textiles & Co,Compliant
BID00025,CDJCE7045N,Prime Textiles Ltd,Compliant
BID00026,AJTCN5778P,Continental Constructions & Co,Compliant
BID00027,QDMCB2343M,Sterling Traders Pvt Ltd,Compliant
BID00028,BYBPA9101E,Apex Suppliers,Compliant
BID00029,CAICV9391S,United Infra Solutions LLP,Compliant
BID00030,NRBFU3881L,Continental Engineering Works LLP,Compliant
BID00031,MVPCK8808H,Vintage Exports & Co,Compliant
BID00032,IWSCI5512N,Modern Logistics LLP,Compliant
BID00033,RHPCP5395L,Vishal Suppliers & Co,Compliant
BID00034,VHJFJ0529R,Metro Fabricators Pvt Ltd,Non-Compliant
BID00035,QBDCS9025N,Elite Enterprises Ltd,Compliant
BID00036,YCTCU2611C,Vintage Engineering Works Ltd,Compliant
BID00037,RYUCU5811H,Vishal Steel Works Pvt Ltd,Compliant
BID00038,TPACH9859Y,National Engineering Works & Co,Compliant
BID00039,VZMPN3683W,Global Agro Industries,Compliant
BID00040,ZKNCA6541L,Krishna Textiles Pvt Ltd,Compliant
